model,Split,MAE,MSE,RMSE,R2,Pearson,Spearman
XGBoost_kiba,Test,0.013003524499333858,0.0009923689211954842,0.03150188758146858,0.015164935464424212,0.658057011170947,0.7600984346732115
GBM_kiba,Test,0.017228975884778036,0.0011066616104441008,0.03326652387076384,-0.09826006766496453,0.39806290362467667,0.61415288805286
Random_Forest_kiba,Test,0.02128858304196181,0.0010845571200432135,0.0329326148376228,-0.07632338991788346,0.06383612815569843,0.10256395909676398
Linear_Regression_kiba,Test,0.02397127177208629,0.0010185367127851562,0.03191452197331422,-0.01080419574125946,0.44436786746994494,0.40553090785653406
SVR_kiba,Test,0.0404516314236332,0.002165916772521365,0.04653941096018905,-1.1494735867736594,0.1217366898828168,0.07928582938228541
MLP_kiba,Test,6.077944816399854,36.976534438634324,6.080833367116248,-36694.81634651064,0.1104998057382037,0.10732043598741198
XGBoost_kiba,Train,0.010665264225155721,0.00023585153058420526,0.015357458467604763,0.890704943871493,0.9447072024718575,0.8327295515887588
GBM_kiba,Train,0.016735131771280814,0.0006865090774728479,0.026201318239219337,0.681867452929944,0.8496595709779516,0.6232960259155078
Random_Forest_kiba,Train,0.021220596997142755,0.0022344527234551357,0.04726999813259078,-0.03545919427193711,0.03678995537803455,0.0825438334931475
Linear_Regression_kiba,Train,0.023856535886497655,0.0021660260661842496,0.04654058515085784,-0.0037498586208906115,0.3144775293737158,0.4107847090428673
SVR_kiba,Train,0.04061240880796467,0.0033150774796564335,0.05757670952439392,-0.5362273813187779,0.09859021522662664,0.09374750167797517
MLP_kiba,Train,6.076299505349602,36.9569158800804,6.079220005895526,-17125.063101836826,0.08439069309409314,0.1087372037770276
XGBoost_kiba,Validation,0.012537714293460438,0.00034462885908002926,0.018564182154892504,0.5982772779539023,0.7739260017602704,0.7568551543841358
GBM_kiba,Validation,0.01679322430126075,0.0010905964924772557,0.033024180420977226,-0.2712730813705615,0.2961039247646224,0.6079768111584125
Random_Forest_kiba,Validation,0.02084460580711606,0.0009321621288198399,0.030531330282512092,-0.08659126451981858,0.06125264114577487,0.08357439336972954
Linear_Regression_kiba,Validation,0.023509497163369295,0.0008817164852377474,0.029693711206882634,-0.027788408284091792,0.43627609426414454,0.38640347527796326
SVR_kiba,Validation,0.04034640792584837,0.002059660880903227,0.04538348687466871,-1.4008801171702436,0.08810654267243151,0.08819652660075995
MLP_kiba,Validation,6.0785081564039505,36.98332437018505,6.081391647491967,-43109.26585517159,0.11432208873204135,0.1106681532881726
