model,Split,MAE,MSE,RMSE,R2,Pearson,Spearman
XGBoost_kiba,Test,0.013003524499333856,0.0009923689211954842,0.03150188758146858,0.015164935464423768,0.6580570111709472,0.7600984346732115
GBM_kiba,Test,0.01722897588477802,0.0011066616104441008,0.03326652387076384,-0.09826006766496498,0.39806290362467667,0.61415288805286
Random_Forest_kiba,Test,0.02128858304196181,0.0010845571200432144,0.03293261483762282,-0.07632338991788479,0.06383612815569746,0.10256395909676398
Linear_Regression_kiba,Test,0.02397127177208629,0.001018536712785156,0.031914521973314215,-0.010804195741259681,0.44436786746994494,0.40553090785653406
SVR_kiba,Test,0.04045163142363316,0.002165916772521361,0.04653941096018901,-1.1494735867736563,0.12173668988281683,0.07928582938228541
MLP_kiba,Test,6.077944816399854,36.976534438634324,6.080833367116248,-36694.816346510655,0.11049980573820369,0.10732043598741198
XGBoost_kiba,Train,0.01066526422515572,0.00023585153058420518,0.015357458467604761,0.8907049438714931,0.9447072024718564,0.8327295515887588
GBM_kiba,Train,0.016735131771280796,0.0006865090774728478,0.026201318239219333,0.681867452929944,0.8496595709779525,0.6232960259155078
Random_Forest_kiba,Train,0.021220596997142762,0.0022344527234551366,0.047269998132590786,-0.035459194271937555,0.036789955378034214,0.0825438334931475
Linear_Regression_kiba,Train,0.023856535886497655,0.0021660260661842496,0.04654058515085784,-0.0037498586208906115,0.3144775293737158,0.4107847090428673
SVR_kiba,Train,0.040612408807964614,0.00331507747965643,0.05757670952439389,-0.5362273813187766,0.09859021522662663,0.09374750167797517
MLP_kiba,Train,6.076299505349602,36.9569158800804,6.079220005895526,-17125.06310183683,0.08439069309409315,0.1087372037770276
XGBoost_kiba,Validation,0.012537714293460437,0.00034462885908002905,0.018564182154892497,0.5982772779539023,0.7739260017602705,0.7568551543841358
GBM_kiba,Validation,0.01679322430126074,0.0010905964924772553,0.03302418042097722,-0.2712730813705615,0.29610392476462233,0.6079768111584125
Random_Forest_kiba,Validation,0.020844605807116067,0.0009321621288198405,0.030531330282512103,-0.08659126451981969,0.06125264114577454,0.08357439336972954
Linear_Regression_kiba,Validation,0.023509497163369288,0.0008817164852377472,0.02969371120688263,-0.027788408284092236,0.43627609426414454,0.38640347527796326
SVR_kiba,Validation,0.04034640792584832,0.002059660880903223,0.045383486874668665,-1.4008801171702396,0.08810654267243125,0.08819652660075995
MLP_kiba,Validation,6.0785081564039505,36.98332437018505,6.081391647491967,-43109.2658551716,0.11432208873204136,0.1106681532881726
