Model,Dataset,RMSE,MAE,MSE,R2
Random Forest,Training,0.22136179298948014,0.1320248632724182,0.04900104339551746,0.929043778658921
Random Forest,Validation,0.5751387003176176,0.34698085517013316,0.33078452460303837,0.5040492268459115
Random Forest,Test,0.6103812210711189,0.3680793243463499,0.3725652350362701,0.4785954775808321
SVR,Training,0.5768122175005723,0.29533114059602933,0.33271233425792757,0.5182141359326199
SVR,Validation,0.6160451404851984,0.3384543299700119,0.37951161511542786,0.43099188463146
SVR,Test,0.6664146192872837,0.3634521257600467,0.44410844479981537,0.3784708561424841
GBM,Training,0.6105956823200696,0.3876680656095011,0.3728270872679113,0.46012575461705985
GBM,Validation,0.6259364405503298,0.39579554721130994,0.3917964276088166,0.4125730596835253
GBM,Test,0.669749595022456,0.4185489131710558,0.4485645200327438,0.37223458512148366
Linear Regression,Training,0.6593650934341996,0.43143659177820154,0.4347623264394907,0.3704401023341276
Linear Regression,Validation,0.6539479308143403,0.42757806158433737,0.4276478962163573,0.35882035285433767
Linear Regression,Test,0.6956870373934818,0.4474730923812592,0.4839804539973197,0.3226700353506743
MLP,Training,0.16748622313903716,0.12260555017574692,0.028051634941379345,0.9593796809220242
MLP,Validation,0.5161278400717155,0.3327358587353713,0.26638794729709436,0.600600092826377
MLP,Test,0.5276690444493002,0.3393646815581492,0.2784346204700375,0.6103311402712901
XGBoost,Training,0.2536884602603657,0.1716240042470383,0.06435783486927514,0.906806295140347
XGBoost,Validation,0.5566704732345413,0.3472087020276838,0.30988201577116825,0.5353887081244468
XGBoost,Test,0.5932712072670142,0.36710223235997486,0.3519707253720606,0.5074174648896552
