Gene,targetId,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,tissueSpecificity,tissueDistribution,maxClinicalTrialPhase,Priority
MMP13,ENSG00000137745,0.0,1.0,1.0,1.0,1.0,0.341825,1.0,1.0,1.0,1.0,8.341825
EGFR,ENSG00000146648,1.0,1.0,1.0,1.0,1.0,0.5247950000000003,1.0,0.5,0.0,1.0,8.024795000000001
MET,ENSG00000105976,1.0,1.0,1.0,1.0,1.0,0.4460450000000001,1.0,0.5,0.0,1.0,7.946045
FGFR2,ENSG00000066468,0.0,1.0,1.0,1.0,1.0,0.8781950000000002,1.0,1.0,0.0,1.0,7.878195
GRM5,ENSG00000168959,1.0,0.0,1.0,1.0,1.0,0.7689749999999996,1.0,1.0,0.5,0.5,7.768974999999999
DPP4,ENSG00000197635,1.0,1.0,1.0,1.0,1.0,0.2232399999999998,1.0,0.5,0.0,1.0,7.72324
DRD3,ENSG00000151577,1.0,0.0,1.0,1.0,0.0,0.5125,1.0,1.0,1.0,1.0,7.5125
REN,ENSG00000143839,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,7.5
GNRHR,ENSG00000109163,1.0,0.0,1.0,1.0,0.0,0.4664650000000002,1.0,1.0,1.0,1.0,7.466465
PIK3CG,ENSG00000105851,1.0,0.0,1.0,1.0,1.0,0.7050800000000003,1.0,0.75,0.0,1.0,7.455080000000001
BTK,ENSG00000010671,1.0,0.0,1.0,1.0,1.0,0.9165399999999998,1.0,0.5,0.0,1.0,7.4165399999999995
SCN2A,ENSG00000136531,1.0,0.0,1.0,1.0,0.0,0.9052349999999996,1.0,1.0,0.5,1.0,7.405234999999999
BMX,ENSG00000102010,1.0,0.0,1.0,1.0,1.0,0.3851849999999999,1.0,1.0,0.0,1.0,7.385185
ALK,ENSG00000171094,1.0,0.0,1.0,1.0,1.0,0.3827150000000003,1.0,0.5,0.5,1.0,7.382715
PDE4D,ENSG00000113448,1.0,0.0,1.0,1.0,1.0,0.8640300000000003,1.0,0.5,0.0,1.0,7.3640300000000005
GABRA5,ENSG00000186297,1.0,0.0,1.0,1.0,0.0,0.7727249999999998,1.0,1.0,0.5,1.0,7.272724999999999
TACR1,ENSG00000115353,1.0,0.0,1.0,1.0,1.0,0.72973,1.0,0.5,0.0,1.0,7.22973
CHRM1,ENSG00000168539,1.0,0.0,1.0,1.0,0.0,0.94565,1.0,0.75,0.5,1.0,7.1956500000000005
OPRD1,ENSG00000116329,1.0,0.0,1.0,1.0,0.0,0.67742,1.0,0.5,1.0,1.0,7.17742
OXTR,ENSG00000180914,1.0,0.0,1.0,1.0,0.0,0.60154,1.0,1.0,0.5,1.0,7.10154
HCRTR1,ENSG00000121764,1.0,0.0,1.0,1.0,0.0,0.5882350000000003,1.0,0.5,1.0,1.0,7.088235
HTR2A,ENSG00000102468,1.0,0.0,1.0,1.0,0.0,0.5753700000000002,1.0,1.0,0.5,1.0,7.07537
SYK,ENSG00000165025,1.0,0.0,1.0,1.0,1.0,0.5748049999999999,1.0,0.5,0.0,1.0,7.074805
F2,ENSG00000180210,0.0,1.0,1.0,1.0,1.0,0.0514449999999996,0.0,1.0,1.0,1.0,7.051444999999999
GRIK1,ENSG00000171189,1.0,0.0,1.0,1.0,1.0,0.7997900000000001,0.0,0.75,0.5,1.0,7.04979
SLC5A2,ENSG00000140675,1.0,0.0,1.0,1.0,0.0,0.53125,1.0,1.0,0.5,1.0,7.03125
FGFR4,ENSG00000160867,1.0,1.0,1.0,1.0,0.0,0.5074800000000004,1.0,0.5,0.0,1.0,7.00748
MC4R,ENSG00000166603,1.0,0.0,1.0,1.0,0.0,0.6987949999999998,1.0,0.75,0.5,1.0,6.948795
GLRA1,ENSG00000145888,1.0,0.0,1.0,1.0,0.0,0.9443199999999996,0.0,1.0,1.0,1.0,6.944319999999999
TRPM8,ENSG00000144481,1.0,0.0,1.0,1.0,0.0,0.6875,1.0,0.75,0.5,1.0,6.9375
GRIN2B,ENSG00000273079,1.0,0.0,1.0,1.0,0.0,0.925875,0.0,1.0,1.0,1.0,6.925875
CFB,ENSG00000243649,0.0,1.0,1.0,1.0,1.0,0.1164900000000002,1.0,1.0,0.0,0.75,6.866490000000001
LCK,ENSG00000182866,0.0,0.0,1.0,1.0,1.0,0.84283,1.0,1.0,0.0,1.0,6.84283
HCK,ENSG00000101336,1.0,0.0,1.0,1.0,1.0,0.3060850000000002,1.0,0.5,0.0,1.0,6.806085
ADORA2A,ENSG00000128271,1.0,0.0,1.0,1.0,1.0,0.0533999999999998,1.0,0.75,0.0,1.0,6.8034
