Gene,targetId,disease_score,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,tissueSpecificity,tissueDistribution,maxClinicalTrialPhase,doability_score,tissue_score,precedence_score,tracability_score,priority
CHRM1,ENSG00000168539,0.9940865548095208,1.0,0.0,1.0,1.0,0.0,0.94565,1.0,0.75,0.5,1.0,0.972825,0.8125,1.0,0.6000000000000001,0.8561671219238083
DRD3,ENSG00000151577,0.9976312905789116,1.0,0.0,1.0,1.0,0.0,0.5125,1.0,1.0,1.0,1.0,0.75625,1.0,1.0,0.6000000000000001,0.8546775162315646
TNF,ENSG00000232810,0.9671137996714988,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.625,1.0,1.0,0.8493455198685995
DRD2,ENSG00000149295,0.9962201342674554,1.0,0.0,1.0,1.0,0.0,0.7855550000000001,1.0,0.75,0.0,1.0,0.8927775,0.6875,1.0,0.6000000000000001,0.8365158037069822
ADORA2A,ENSG00000128271,0.9303864830574884,1.0,0.0,1.0,1.0,1.0,0.0533999999999998,1.0,0.75,0.0,1.0,0.5267,0.6875,1.0,0.8,0.8335745932229953
GRIN2B,ENSG00000273079,0.9923733134253672,1.0,0.0,1.0,1.0,0.0,0.925875,0.0,1.0,1.0,1.0,0.4629375,1.0,1.0,0.6000000000000001,0.823243075370147
DPP4,ENSG00000197635,0.7332604430751929,1.0,1.0,1.0,1.0,1.0,0.2232399999999998,1.0,0.5,0.0,1.0,0.6116199999999999,0.625,1.0,1.0,0.8169661772300771
GRIN1,ENSG00000176884,0.9923733134253672,1.0,0.0,1.0,1.0,0.0,0.9520249999999996,0.0,1.0,0.5,1.0,0.4760124999999998,0.875,1.0,0.6000000000000001,0.8120505753701468
HTR2A,ENSG00000102468,0.8975161818727192,1.0,0.0,1.0,1.0,0.0,0.5753700000000002,1.0,1.0,0.5,1.0,0.7876850000000001,0.875,1.0,0.6000000000000001,0.8052749727490878
PIK3CG,ENSG00000105851,0.7700570312181257,1.0,0.0,1.0,1.0,1.0,0.7050800000000003,1.0,0.75,0.0,1.0,0.8525400000000001,0.6875,1.0,0.8,0.8020268124872503
GRIN3A,ENSG00000198785,0.992355664106232,1.0,0.0,1.0,1.0,0.0,0.6681600000000003,0.0,1.0,0.5,1.0,0.33408000000000015,0.875,1.0,0.6000000000000001,0.7978502656424928
BCHE,ENSG00000114200,0.9467999147105544,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,1.0,0.8,0.7937199658842218
GRIN2D,ENSG00000105464,0.992355664106232,1.0,0.0,1.0,1.0,0.0,0.8315849999999998,0.0,0.5,0.5,1.0,0.4157924999999999,0.75,1.0,0.6000000000000001,0.7935215156424928
GRIN2A,ENSG00000183454,0.9923733134253672,0.0,0.0,1.0,1.0,0.0,0.7643450000000002,1.0,1.0,0.5,1.0,0.8821725,0.875,1.0,0.4,0.792666575370147
